 Africa	 Isla de Canarias
 Alameda, California	 Dublin, Ca
 Alameda County, California	 Albany
 Alameda County, California	 Union City, Alameda Co
 Alaska	 Barrow, AK
 Alaska	 Cordova, AK
 Alaska	 Sitka
 Alaska	 Skagaway, AK
 Alaska	 Wrangel Is.
 Arizona	 Superior, AZ
 Arizona	 Superior, Pinal Co, AZ
 Armenia	 Armenia?
 Australia	 Sidney, Australia
 Australia	 Sydney, New South Wales, Australia
 Baja California, Mexico	 Baja California Norte, MX
 Baja California, Mexico	 Baja California Norte, MX
 Baja California Norte, MX	 Cedros Is
 Baja California Norte, MX	 Guadalupe Island, Mexico
 Baja California Norte, MX	 Tecate, Mexico
 Baltimore, Maryland	 Baltimore, MD.
 Barcelona, Spain	 Barcolona, Spain
 Barstow, California	 Barstow area
 Belgium	 Belgium?
 Berkeley, California	 Berkeley?
 Bhutan	 Bhutan?
 Bismarck, North Dakota	 Bismark, ND
 Boston, Massachusetts	 Boston. MA
 Boston, Massachusetts	 South Boston
 Brazil	 Divina de Uba, Minas Geraes, Brazil
 Brazil	 Governador Valladares, Minas Gerais, Brazil
 Brazil	 Minas Geraes, Brazil
 Brazil	 Minas Gerais, Sete Iagoas, Brazil
 Brazil	 Villa Rica, Brazil
 British Columbia, Canada	 Vancouver, B.C.
 British Columbia, Canada	 Vancouver Heights B.C., Canada
 British Columbia, Canada	 Victoria, B.C.
 Butte County, California	 Cherokee Flat
 Calaveras County, California	 Camp Angeles
 California	 Baja
 California	 Nova Albion
 California	 San Bernardino Co.
 Calistoga, California	 Calistoga, Napa Co
 Canada	 Canada?
 Canada	 Manitoba
 Canada	 Montreal, Canada
 Channel Islands	 Anacapa Island
 Channel Islands	 Anacapa Island
 Channel Islands, California	 Channel Islands
 Chile	 Calama, Minaquetena, Chile
 Chile	 Galama, Minaquetena, Chile
 China	 Canton, China
 China	 Kwangchow, China
 China	 Nan-King, China
 China	 Peiping, China
 China	 Peking
 China	 Peking, China
 China	 Shantung Province, China
 Cochise County, Arizona	 Tombstone, Cochise Co, AZ
 Coconino County, Arizona	 Coconino Co,AZ
 Colorado	 Boulder Co, CO
 Colorado	 Canon City, CO
 Colorado	 Colorado Springs
 Colorado	 Golden, CO
 Colusa County, California	 Colusa, Colusa Co.
 Connecticut	 Haddam Neck, Middlesex Co, CT
 Connecticut	 Hartford, CT
 Contra Costa County, California	 Clayton, CA
 Contra Costa County, California	 Contra Costa
 Contra Costa County, California	 Pittsburg, CA
 Cordova, AK	 Main St., Cordova, AK
 Cuba	 Havana
 Cumberland, England	 Frizzington, Cumberland Co, England
 Czecho-Slovakia	 Czecho-Slovakia?
 Czecho-Slovakia	 Czecho-Slovakia?
 Denmark	 Copenhagen
 Denmark	 Denmark?
 Egypt	 Egypt?
 Egypt	 Karnak
 England	 Stoke on Trent
 England	 Stratford-On-Avon
 England	 Weardale, England
 Ethiopia	 Massaua, Red Sea
 Europe	 Bosnia
 Europe	 Czecho-Slovakia
 Europe	 Gibralter
 Europe	 Herzegovina
 Europe	 Luxemburg
 Florida	 Florida?
 Florida	 Jacksonville
 Florida	 St. Augustine, FL
 France	 Bretagne, France
 France	 Bretigny, France
 France	 Limoges, France
 Fruitvale District	 Fruitvale
 Germany	 Bavaria, Germany
 Germany	 Frankfort on Main, Germany
 Germany	 Hanover, Leuneberg, Germany
 Germany	 Solingen, Germany
 Germany	 Weisbaden, Germany
 Germany	 Westphalia, Suttrop, Germany
 Glenn County, California	 Willows, CA
 Glennville	 Glennville, California
 Guatemala	 Chichicastenango
 Havana	 El Principe de Gales Factory
 Hayward, California	 Hayward?
 Hayward, California	 Hayward, Alameda Co
 Hayward, California	 Haywards
 Idaho	 Clearwater Co, ID
 Illinois	 Pioria, IL
 India	 Calcutta
 Indiana	 Drephi, Carroll Co, Wabash Valley, IN
 Indiana	 Fort Wayne
 Indonesia	 Island of Lombok
 Inyo County, California	 Darwin
 Inyo County, California	 Independence, Ca.
 Ireland	 Carrick-a-rede
 Ireland	 Wicklow
 Island of Santa Catalina	 Avalon Bay
 Island of Santa Catalina	 Catalina Isle
 Island of Santa Catalina	 Catalina Isle
 Italy	 Genoa, Italy
 Italy	 Verona
 Japan	 Fuji-Yama, Japan
 Japan	 Fukoka, Japan
 Japan	 Fukuoka
 Japan	 Higo
 Japan	 Hiroshima, Japan
 Japan	 Kangawa
 Kern County, California	 Glennville
 Lake County, California	 Cache Creek
 Lake County, California	 Lakeport
 Liberia	 Cape Palmas, Liberia
 Los Angeles County, California	 Island of Santa Catalina
 Los Angeles County, California	 Palos Verdes
 Los Angeles County, California	 Santa Catalina Is, Los Angeles Co
 Madagascar	 Ambotofotsy, Madagascar
 Madera County, California	 Coarsegold
 Maine	 Newry, Halls Ridge, ME
 Marin County, California	 Marin Headlands
 Massachusetts	 Charlestown
 Massachusetts	 Commonwealth, MA
 Massachusetts	 Nantucket
 Massachusetts	 Nantucket Island, MA
 Massachusetts	 South Boston, MA
 Massachusetts	 Worchester, MA
 Mendocino County, California	 Boonville
 Mendocino County, California	 Mendocino, Ca.
 Mendocino County, California	 Mendocino City
 Mendocino County, California	 Mendocino County
 Mexico	 Baja California, Mexico
 Mexico	 Baja CA, MX
 Mexico	 Cabo Haro, W MX
 Mexico	 Chihuahua, Mexico
 Mexico	 Chihuahua, MX
 Mexico	 Colima, MX
 Mexico	 Durango
 Mexico	 Durango, Mexico
 Mexico	 Guanajuato Dist, MX
 Mexico	 Guanajuato, Mexico
 Mexico	 Guanajuato, MX
 Mexico	 Guerrero, MX
 Mexico	 Los Lamentos, Chihuahua, MX
 Mexico	 Los Lamentos, Mexico
 Mexico	 Mapimi, Mexico
 Mexico	 Mexico City
 Mexico	 Miramar, MX
 Mexico	 San Felipe, Gulf of Ca, MX
 Mexico	 San Felipe, MX
 Mexico	 San Filipe, Baja, MX
 Mexico	 San Luis Potosi, MX
 Mexico	 Sinaloa
 Mexico	 Sinaloa, MX
 Mexico	 Sonora, MX
 Mexico	 Zacatecas, MX
 Middle East	 Phoenecia
 Minas Gerais, Brazil	 Minas Gerais,Brazil
 Minnesota	 St. Paul, Minnesota
 Missouri	 St. Louis, MO.
 Mono County, California	 Aurora, Mono Co.
 Mono County, California	 Bridgeport, Mono Co.
 Morro Bay, San Luis Obispo Co	 Moro Bay
 Namibia	 Karibib, SW Africa
 Napa County, California	 Yountville
 Nepal	 Nepal?
 Netherlands	 Amsterdam, Holland
 Nevada	 Austin, Lander County, NV
 Nevada	 Carson, NV
 Nevada County, California	 Nevada City, CA
 Nevada	 Gerlach, NV
 Nevada	 Humboldt Co, NV
 Nevada	 Nevada?
 Nevada	 Palisades, NV
 New Hampshire	 Concord, N.H.
 New Hampshire	 Grafton Center, NH
 New Hampshire	 N Groton, NH
 New Jersey	 Garden City, NJ
 New Jersey	 Hoboken, NJ
 New Mexico	 Gallup, NM
 New York	 Chatauqua Co., NY
 New York City	 379 Broadway,New York
 New York City	 Carnegie Hall
 New York City	 Harlem, New York
 New York City	 Madison Square, New York
 New York City	 New York City, New York
 New York City	 New York City, New York
 New York	 Jefferson Co., NY
 New York	 Jefferson County, NY
 New York	 Kingston, Ulster Co., NY
 New York	 Lake Champlain, NY
 New York	 New York City
 New York	 New York City, NY
 New York	 White Plains, NY
 New Zealand	 Auckland, New Zealand
 North Africa	 Madeira Is, N Africa
 Norway	 Bomlo Area, Norway
 Norway	 Kragero, Telemark, Norway
 Norway	 Norway?
 Ohio	 Ashley, OH
 Oklahoma	 Sallslaw, OK
 Orange County, California	 San Juan Capistrano
 Oregon	 Bandon, Coos Co., OR
 Oregon	 Southern OR
 Oregon	 Southern Oregon?
 Panama	 Cartagena, Panama (?)
 Pennsylvania	 Chester Co., PA
 Pennsylvania	 Lancaster Co., PA
 Pennsylvania	 Lancaster County, PA
 Peru	 Cerre de Pasco, Cercapuquio, Peru
 Place Authority	 Abereen, Scotland
 Place Authority	 Aguila
 Place Authority	 Alameda, California
 Place Authority	 Alameda, California
 Place Authority	 Albany?
 Place Authority	 Alberqueque, NM
 Place Authority	 Albuquerque
 Place Authority	 Alcatraz Island, California
 Place Authority	 Alta California
 Place Authority	 Ann Arbor,Michigan
 Place Authority	 Antietam
 Place Authority	 Antigua
 Place Authority	 Antwerp
 Place Authority	 Artesia, CA
 Place Authority	 Asilomar, CA
 Place Authority	 Assiout, Egypt
 Place Authority	 Assiut, Egypt
 Place Authority	 Assouan, Egypt
 Place Authority	 Atherton, CA
 Place Authority	 Baalbec
 Place Authority	 Badlands,
 Place Authority	 Balbec
 Place Authority	 Banff, Canada
 Place Authority	 Barcelona
 Place Authority	 Bay Shore
 Place Authority	 Belvedere, CA
 Place Authority	 Benecia, Ca.
 Place Authority	 Berkeley, Calif.
 Place Authority	 Berkeley, California
 Place Authority	 Berks County
 Place Authority	 Berverly Hills
 Place Authority	 Bioemfontein, South Africa
 Place Authority	 Birmingham
 Place Authority	 Biskra, North, Africa
 Place Authority	 Bismark
 Place Authority	 Blairseden
 Place Authority	 Blue Creek
 Place Authority	 Bodega, Ca.
 Place Authority	 Bologna, Italy
 Place Authority	 Bouda Islands
 Place Authority	 Bristol Bay
 Place Authority	 Brockton
 Place Authority	 Cailfornia
 Place Authority	 Cairo
 Place Authority	 Calexico, California
 Place Authority	 Cape Town
 Place Authority	 Carmel, Ca.
 Place Authority	 Carmel, California
 Place Authority	 Chatanooga
 Place Authority	 Chico, California
 Place Authority	 Chilkaht
 Place Authority	 Corcoran
 Place Authority	 Cordova
 Place Authority	 Coronado, CA
 Place Authority	 Coultersville
 Place Authority	 Covello
 Place Authority	 Covington, Kentucky
 Place Authority	 Cumberland
 Place Authority	 Dallas
 Place Authority	 Damascus?
 Place Authority	 Damascus, Syria
 Place Authority	 Death Valley, Ca.
 Place Authority	 Death Valley, CA
 Place Authority	 Dendero, Egypt
 Place Authority	 Downeville
 Place Authority	 Dunsmuir, CA
 Place Authority	 Dunsmuir, Siskiyou Co.
 Place Authority	 El Pinole
 Place Authority	 Farallones
 Place Authority	 Farralones
 Place Authority	 Florence
 Place Authority	 Galveston
 Place Authority	 Genova
 Place Authority	 Georgetown, Ca.
 Place Authority	 Germantown
 Place Authority	 Gizeh, Egypt
 Place Authority	 Gloucester
 Place Authority	 Goodlet, TX
 Place Authority	 Grand Island
 Place Authority	 Grand Rapids
 Place Authority	 Great Falls
 Place Authority	 Grindelald, Switzerland
 Place Authority	 Guadalaxara
 Place Authority	 Hamborg
 Place Authority	 Hangtown
 Place Authority	 Harbin Springs
 Place Authority	 Hartford
 Place Authority	 Hayward, Ca.
 Place Authority	 Hayward City
 Place Authority	 Hebron
 Place Authority	 Holland?
 Place Authority	 HOMESTEAD, PA.
 Place Authority	 Hongkong
 Place Authority	 Hornitas
 Place Authority	 Humboldt Co.,
 Place Authority	 Humbolt Co.
 Place Authority	 Humbolt Co., Nevada
 Place Authority	 Ireland?
 Place Authority	 Jalisco
 Place Authority	 Jenner, CA
 Place Authority	 Jerusalem, Palestine
 Place Authority	 Johannesburg Fort, South Africa
 Place Authority	 Kamchatka
 Place Authority	 Kamschatka
 Place Authority	 Karnac
 Place Authority	 Kelseyville
 Place Authority	 Ketchikan
 Place Authority	 Keyston
 Place Authority	 Kioto
 Place Authority	 Komombo, Egypt
 Place Authority	 Lake Country
 Place Authority	 La Porte, Ca.
 Place Authority	 LeMoore, CA
 Place Authority	 Lima
 Place Authority	 Lisbonne, Portugal
 Place Authority	 Livermore(?)
 Place Authority	 Los Alamidos
 Place Authority	 Los Angeles?
 Place Authority	 Los Angeles, Ca.
 Place Authority	 Los Angeles, California
 Place Authority	 Luxor
 Place Authority	 Luzern
 Place Authority	 Manassas
 Place Authority	 Marin, Ca
 Place Authority	 Marin, Ca.
 Place Authority	 Martell, Ca
 Place Authority	 Matthews, Ga.
 Place Authority	 Medford
 Place Authority	 Mendota
 Place Authority	 Middleton, Lake Co.
 Place Authority	 Milano, Italy
 Place Authority	 Mindaneo
 Place Authority	 Mono, Co.
 Place Authority	 Monte Carlo, France
 Place Authority	 Monte Carlo, Monaco
 Place Authority	 Morro Bay, Ca.
 Place Authority	 Murphys, Calaveras Co., CA
 Place Authority	 Nantucket Island
 Place Authority	 Nazareth, Palestine
 Place Authority	 Needles, Ca
 Place Authority	 Needles, Ca.
 Place Authority	 Nevada Co.?
 Place Authority	 Niagara
 Place Authority	 Niagra
 Place Authority	 North Platte
 Place Authority	 Nurenburg, Germany
 Place Authority	 NYC
 Place Authority	 Oahu Island
 Place Authority	 Oaxaco
 Place Authority	 Oberammergau
 Place Authority	 Ojai, Ca
 Place Authority	 Omaha
 Place Authority	 Orwigsburg
 Place Authority	 Pacheco, California
 Place Authority	 Palestine?
 Place Authority	 Pasadena, California
 Place Authority	 Pebble Beach, Ca.
 Place Authority	 Peoria
 Place Authority	 Petersburg
 Place Authority	 Piedmont, Ca.
 Place Authority	 Piedmont, California
 Place Authority	 Pisa, Italy?
 Place Authority	 Pitcairn Is.
 Place Authority	 Pittsburgh, Pa.
 Place Authority	 Pittsburgh, Pennsylvania
 Place Authority	 Pleasanton?
 Place Authority	 Poland?
 Place Authority	 Pompei
 Place Authority	 Portland, Oregon
 Place Authority	 Port Townsend, Washington
 Place Authority	 Province
 Place Authority	 Puebla
 Place Authority	 Rarotongs
 Place Authority	 Reading , PA
 Place Authority	 Redland
 Place Authority	 Reno
 Place Authority	 Riverside, Calif.
 Place Authority	 Rochelle
 Place Authority	 Rockingham
 Place Authority	 Rocklin
 Place Authority	 Rockville
 Place Authority	 Roseburg, OR
 Place Authority	 Ross, Ca.
 Place Authority	 Sacramento?
 Place Authority	 Sacramento, Ca.
 Place Authority	 Sacramento Co., Ca.
 Place Authority	 Sacramento County
 Place Authority	 San Blass, Mexico
 Place Authority	 San Diego city
 Place Authority	 San Felipe
 Place Authority	 San Francisco.
 Place Authority	 San Francisco, Ca.
 Place Authority	 San Francisco, California
 Place Authority	 San Gabriel, CA
 Place Authority	 San Jose, California
 Place Authority	 San Juan Batista
 Place Authority	 San Juan Bautista, California
 Place Authority	 San Juan Capistrano, Ca.
 Place Authority	 San Luis Obisbo
 Place Authority	 San Mateo, California
 Place Authority	 Santa Catalina
 Place Authority	 Santa Catalina Island, CA
 Place Authority	 Santa Catlina Island
 Place Authority	 Santa Clara Cpunty
 Place Authority	 Santa Cruz, California
 Place Authority	 Santa Fe , NM
 Place Authority	 Santiago de Cuba
 Place Authority	 Scotland?
 Place Authority	 Scottland
 Place Authority	 Sebastapol
 Place Authority	 S.F
 Place Authority	 S.F.
 Place Authority	 Shantung Province
 Place Authority	 S. Jose
 Place Authority	 Smithville
 Place Authority	 Solano
 Place Authority	 Sorreuto
 Place Authority	 Staten Island
 Place Authority	 Stratford
 Place Authority	 Stratford on Avon
 Place Authority	 Stuttgart
 Place Authority	 Switzerland?
 Place Authority	 Tacoma
 Place Authority	 Tehama, Shasta Co.
 Place Authority	 Telemarken, Norway
 Place Authority	 The Dalles, Oregon
 Place Authority	 Tibaron
 Place Authority	 Tijuana
 Place Authority	 Tucson
 Place Authority	 Urugary
 Place Authority	 Valladolid
 Place Authority	 Vancouver
 Place Authority	 Vancouver Island
 Place Authority	 Versailles, France
 Place Authority	 Vicksburg, MS
 Place Authority	 Vienna, Austria
 Place Authority	 Volcano, Amador co.
 Place Authority	 Washington?
 Place Authority	 Washington,DC
 Place Authority	 Washington,D.C.
 Place Authority	 Wheeling, VW
 Place Authority	 Wichita, KS
 Place Authority	 Woodstock, Ill.
 Place Authority	 Wrangell
 Place Authority	 Yoko-Lama
 Place Authority	 Yonkers, N.Y.
 Place Authority	 York
 Place Authority	 Yukon
 Place Authority	 Zanzibar
 Place Authority	 Zarojope?
 Plumas County, California	 La Porte
 Pohnpei	 Pohnpei Island
 Porterville, California	 Portersville
 Rhode Island	 Providence, Butt Co., RI
 Rhodesia	 Southern Rhodesia
 Rio Grande Valley	 Chimayo
 Riverside County, California	 Elsinore
 San Francisco, CA	 Fites Ink Manufacturing Company
 San Francisco County, California	 Alcatraz
 San Francisco County, California	 City and County of San Francisco
 San Francisco County, California	 Farallone Islands
 San Francisco County, California	 San Francisco, CA
 San Francisco	 SF
 San Francisco	 Yerba Buena
 San Jose, California	 San Jose, Santa Clara Co
 San Luis Obispo County, California	 Morro Bay, San Luis Obispo Co
 San Mateo County, California	 Daly City
 San Mateo County, California	 Elk Grove, San Mateo Co
 San Mateo County, California	 Milbrae
 San Pedro, California	 San Pedro?
 Santa Barbara County, California	 Anacapas
 Santa Clara County, California	 Almaden, Santa Clara Co
 Scotland	 Aberdeen
 Scotland	 Shetland Isles
 Shasta County, California	 Middletown
 Siskiyou County, California	 Mt Shasta City
 Siskiyou County, California	 Yreka
 Sonoma County, California	 Camp Meeker, Sonoma Co
 Sonoma County, California	 Cloverdale, Sonoma Co.
 Sonora, California	 State of Sonora
 Sonora, MX	 Guaymas, Sonora, MX
 Sonora, MX	 Guaymas, Sonora, MX
 South Africa	 Durban, Natal, South Africa
 South Africa	 Kaapschehoop Dist, Transvaal, So Africa
 South Africa	 Kei mouth, South Africa
 South Africa	 Keimouth, South Africa
 South Africa	 Kimberley, Griqualand West, South Africa
 South Dakota	 Hot Springs. SD
 South Korea	 Seoul, Korea
 South Sulawesi	 Ujung Pandang
 Spain	 Buragos, Spain
 Spain	 Burgos
 Spain	 Cartagena
 Spain	 Grenada, Spain
 Spain	 Sevilla, Spain
 Stanislaus County, California	 LaGrange
 Sweden	 Stockholm
 Switzerland	 Interiaken, Switzerland
 Syria	 Syria?
 Texas	 El Paso
 Texas	 Houston, Harris Co, TX
 Texas	 Houston, TX
 Tombstone,Cochise Co,AZ	 Tombstone,Chochise Co,AZ
 Tombstone,Cochise Co,AZ	 Tombstone,Chochise Co,AZ
 Tombstone, Cochise Co, AZ	 Tombstone,Cochise Co,AZ
 Tombstone, Cochise Co, AZ	 Tombstone,Cochise Co,AZ
 Tulare County, California	 Tulare, CA
 Tulare County, California	 Visalia, Tulare Co.
 Tuolumne County, California	 Jamestown, Tuolumne Co.
 Turkey	 Constantinople, Turkey
 Turkey	 Istanbul, Turkey
 United States of America	 Washington D.C.
 Utah	 Echo City, Utah
 Utah	 Millard Co., UT
 Ventura County, California	 Simi
 Victoria, B.C.	 Fort Street, Victoria B.C.
 Virginia	 Chancellorsville, VA
 Virginia	 Cold Harbor, VA
 Virginia	 Fredericksburg
 Virginia	 Fredricksburg
 Virginia	 Fredricksburg, VA
 Washington	 Pt. Townsend, WA
 Washington	 Washington ?
 Western Caroline Islands, Palau	 Yap State
 Wyoming	 Albany County
 Wyoming	 Badlands, WY
 Wyoming	 Wyoming ?
 Yap State	 Sorol Island, Yap State
 Yap State	 Yap Islands
 Yap State	 Yap Islands
 Yolo County, California	 Yolo, Co.
 Yosemite National Park	 Yosemite, Ca
 Yosemite National Park	 Yosemite, Cal.
 Yosemite National Park	 Yosemite Natl Park, Mariposa Co
 Yosemite National Park	 Yosemite Natl Park, Tuolumne Co
 Yosemite National Park	 Yosemite Valley, Ca.
 Yosemite Natl Park, Mariposa Co	 Yosemite Natl Park
 Yosemite Natl Park, Mariposa Co	 Yosemite Natl Park
 Yuba County, California	 Timbuctoo, Yuba County
 Zambia	 Bwana M Kubwa, Northern Rhodsia
